Name,BobJ,Power BI,SSIS,T-SQL (Adv),Python,Java,Semantic Layer,Data Pipelines,Core AI Work,DB Ops,Mgr_TL,DIE,DPE,DRE,EBI,AIE
VP,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
AK,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
KM,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
RC,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
CM,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
TM,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
RS,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
VF,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
SB,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
JK,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
PP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
LB,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SK,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
